person_id,degree_centrality,betweenness_centrality,case_count,repeat_offender_flag,display_name
1321,0.0020757654385054488,0.0072326195904119555,14,True,Yashoda Choudhary
21,0.0015568240788790865,0.005838855716325021,6,True,Ekavir Bal
2598,0.0036325895173845353,0.005053232292500663,17,True,Vidhi Sarma
967,0.0020757654385054488,0.004622429906542056,10,True,Yachana Rastogi
1253,0.0036325895173845353,0.004181247423786822,14,True,Triveni Sinha
2160,0.0036325895173845353,0.00388785046728972,12,True,Maanas Dasgupta
46,0.0015568240788790865,0.003856697819314642,9,True,Lila Rattan
466,0.0020757654385054488,0.003620353063343717,5,True,Rehaan Deshpande
1064,0.0036325895173845353,0.003576843198338525,12,True,Bakhshi Balay
632,0.0036325895173845353,0.003052649686761837,11,True,Yashoda Swaminathan
1659,0.0010378827192527244,0.0030373641588594845,8,True,Chasmum Bala
2058,0.0010378827192527244,0.0028682229902427282,6,True,Jagdish Sehgal
2371,0.0020757654385054488,0.0028233085328584727,7,True,Ucchal Saran
1075,0.004670472236637259,0.0028077987714509615,20,True,Amruta Patla
2010,0.0010378827192527244,0.00259190031152648,9,True,Chakradhar Divan
1343,0.0015568240788790865,0.002552440290758048,15,True,Leela Chand
956,0.0041515308770108976,0.002497206250507245,14,True,Mitesh Kade
2600,0.002594706798131811,0.0024132047631309304,18,True,Waida Bhardwaj
1174,0.003113648157758173,0.0024055036344755973,13,True,Yauvani Grewal
1408,0.003113648157758173,0.0024024364135345447,21,True,Amara Khatri
1369,0.0010378827192527244,0.00223708059941274,13,True,Meera Varma
534,0.003113648157758173,0.002231914157147802,26,True,Pranit Bakshi
1722,0.003113648157758173,0.002034696341121176,12,True,Joshua Amble
992,0.003113648157758173,0.0019662030880729974,12,True,Fiyaz Padmanabhan
1412,0.002594706798131811,0.001821746643165182,14,True,Reva Joshi
2557,0.003113648157758173,0.0018216453220965777,8,True,Patrick Edwin
1256,0.002594706798131811,0.0018128385171998886,12,True,Maanas Swamy
679,0.003113648157758173,0.0017445760333404778,14,True,Isaiah Som
1668,0.0036325895173845353,0.0016576165722033429,17,True,Dalbir Mutti
2186,0.0010378827192527244,0.0015994649626498631,6,True,Rajeshri Vyas
876,0.003113648157758173,0.0015673816383720703,17,True,Ira Sibal
1212,0.0020757654385054488,0.0015571956016041594,10,True,Aachal Issac
2300,0.0036325895173845353,0.0014450954095682439,15,True,Wyatt Iyer
2435,0.0041515308770108976,0.001280858705989341,17,True,Bimala Palla
432,0.0036325895173845353,0.0012219744119130209,12,True,Yuvraj Chahal
1417,0.0041515308770108976,0.0012121855341003917,16,True,Upma Wason
690,0.0020757654385054488,0.0011986590002434775,13,True,Aradhana Verma
1653,0.003113648157758173,0.0011931464174454827,14,True,Jeet Viswanathan
2077,0.0010378827192527244,0.0011588785046728973,9,True,Raghav Bassi
535,0.0010378827192527244,0.0011487148752333325,5,True,Vasudha Srinivasan
251,0.0020757654385054488,0.001105919003115265,7,True,Zayyan Jaggi
1334,0.0010378827192527244,0.0011017653167185878,4,True,Darsh Chakrabarti
2187,0.0015568240788790865,0.001050882658359294,4,True,Eshana Chaudhari
648,0.0036325895173845353,0.0010464547567351306,20,True,Harita Ramakrishnan
533,0.002594706798131811,0.0010060080106809076,11,True,Ojas Memon
1450,0.0010378827192527244,0.0009304257528556595,6,True,Tara Bobal
2180,0.0010378827192527244,0.0009239663126876806,6,True,Joshua Sani
927,0.0020757654385054488,0.0008826583592938733,17,True,Dhruv Morar
1940,0.003113648157758173,0.0008816199376947042,26,True,Lopa Bahri
2070,0.002594706798131811,0.0008518518518518517,24,True,Charles Nagar
494,0.002594706798131811,0.0008504672897196263,8,True,Sai Pandey
1857,0.0010378827192527244,0.0008161993769470404,11,True,Krish Khalsa
365,0.0020757654385054488,0.0008089304257528557,13,True,Umang Soman
315,0.003113648157758173,0.0008038408411337673,10,True,Udyati Naidu
505,0.002594706798131811,0.0008031485600676545,9,True,Nidhi Dutta
1293,0.0020757654385054488,0.0007907819793272942,14,True,Rachit Issac
2555,0.0020757654385054488,0.0007595669011959536,7,True,Varenya Gera
1961,0.0015568240788790865,0.0007433684225617915,9,True,Chandani Jha
395,0.002594706798131811,0.000741881685716668,7,True,Manya Dugal
2582,0.002594706798131811,0.000741881685716668,10,True,Yauvani Bhakta
2389,0.0036325895173845353,0.0007002582527464065,17,True,Wazir Cherian
691,0.0020757654385054488,0.0006985132638152074,4,True,Anjali Kala
1470,0.0020757654385054488,0.0006562824506749741,6,True,Aarush Acharya
1165,0.0036325895173845353,0.0006296296296296295,16,True,Kavya Amble
2400,0.002594706798131811,0.0006082556949477705,12,True,Naksh Nori
778,0.002594706798131811,0.0005880062305295951,10,True,Abhiram Choudhary
1966,0.0010378827192527244,0.0005877466251298027,10,True,Jason Anne
2247,0.0041515308770108976,0.0005823814468674281,16,True,Orinder Pandey
2540,0.0020757654385054488,0.0005738729845588422,16,True,Hemal Bora
130,0.0020757654385054488,0.0005668076621320164,7,True,Kashvi Ramaswamy
1345,0.0020757654385054488,0.00054833241118013,5,True,Lucky Kakar
871,0.0010378827192527244,0.0005285753230240334,5,True,Panini Patel
2206,0.003113648157758173,0.0005264797507788162,11,True,Aachal Nagy
474,0.0010378827192527244,0.0004735202492211838,3,True,Jhalak Lal
1000,0.0020757654385054488,0.00046521287642782973,17,True,Yashvi Madan
1053,0.0015568240788790865,0.00046114094887459377,11,True,Vasana Dada
830,0.0041515308770108976,0.00044911734164070614,11,True,Turvi Narayan
332,0.0010378827192527244,0.00041940447225316025,19,True,Arunima Dixit
2342,0.0015568240788790865,0.00041536863966770503,10,True,Lohit Oak
1312,0.003113648157758173,0.0004089175235205611,8,True,Aarush Dhawan
338,0.003113648157758173,0.0004026745078942932,15,True,Vedant Sood
1176,0.003113648157758173,0.0003838698511595708,17,True,Zaitra Kothari
391,0.0020757654385054488,0.00037383177570093456,11,True,Harrison Lad
925,0.0041515308770108976,0.00036880037580972136,11,True,Triya Chaudhry
2244,0.0015568240788790865,0.00035617860851505715,12,True,Bhavani Nori
229,0.0010378827192527244,0.00035514018691588787,6,True,Atharv Char
486,0.0010378827192527244,0.00035377088548852636,6,True,Zilmil Solanki
1945,0.003113648157758173,0.00033893149080064963,10,True,Samar Gour
2287,0.0010378827192527244,0.0003309617508810287,5,True,Gautami Bumb
1044,0.0010378827192527244,0.00032398753894081,8,True,Laksh Behl
36,0.003113648157758173,0.00032021467649733524,15,True,Daniel Shanker
1505,0.0020757654385054488,0.00030789200415368644,12,True,Meera Palla
1855,0.0015568240788790865,0.0003070266528210454,11,True,Aahana Loke
2000,0.003113648157758173,0.0003047181990190968,15,True,Triya Hayre
955,0.0010378827192527244,0.0002959501557632399,5,True,Jasmit Kannan
487,0.0010378827192527244,0.0002959501557632399,8,True,Tanmayi Pillay
977,0.0010378827192527244,0.0002959501557632399,3,True,Aarna Chad
902,0.0010378827192527244,0.00029595015576323983,3,True,Jagat Jaggi
40,0.0010378827192527244,0.0002955027396433573,15,True,Falak Manda
1813,0.0010378827192527244,0.0002955027396433573,9,True,Ryan Bhattacharyya
